VL(20V)		IL(10A)		VPD(V)		FSV(V)
17.73		6.58		4.53		20
17.35		6.5		4.53		20
17.0		6.42		4.49		20
16.75		6.37		4.49		20
16.3		6.28		4.33		20
15.95		6.2		4.08		20
15.6		6.13		3.7		20
15.25		6.05		3.38		20
14.90		5.95		3.07		20
14.55		5.90		2.78		20
14.2		5.82		2.52		20
13.85		5.74		2.25		20
13.5		5.66		2.04		20
13.15		5.58		1.81		20
12.8		5.5		1.62		20
12.45		5.42		1.43		20
12.1		5.33		1.27		20
11.4		5.16		0.98		20
10.7		4.98		0.74		20
10.0		4.8		0.54		20
9.3		4.62		0.39		20
8.6		4.42		0.26		20
7.9		4.23		0.18		20
7.2		4.02		0.12		20
6.5		3.80		0.078		2
5.8		3.58		0.051		2
5.1		3.35		0.036		2
4.4		3.1		0.029		2
