U_A1 / V	U_B1 / V
0,002	-0,12
0,003	-0,12
0,002	-0,12
0,003	-0,12
0,024	-0,12
0,052	-0,09
0,083	-0,07
0,113	-0,07
0,140	-0,06
0,168	-0,03
0,197	-0,01
0,224	0,04
0,254	0,09
0,282	0,14
0,310	0,17
0,338	0,10
0,366	0,06
0,395	0,04
0,423	0,06
0,453	0,01
0,478	0,09
0,507	0,07
0,535	0,23
0,563	0,30
0,590	0,42
0,617	0,51
0,646	0,65
0,673	0,80
0,702	1,00
0,731	1,20
0,757	1,30
0,783	1,27
0,813	0,85
0,842	0,58
0,869	0,47
0,895	0,45
0,924	0,47
0,951	0,53
0,980	0,63
1,005	0,80
1,034	0,96
1,063	1,14
1,092	1,38
1,117	1,68
1,145	2,00
1,173	2,33
1,202	2,70
1,228	3,02
1,258	2,94
1,284	2,29
1,313	1,71
1,341	1,29
1,367	1,06
1,397	0,97
1,422	1,03
1,449	1,17
1,478	1,35
1,504	1,56
1,533	1,91
1,560	2,21
1,589	2,60
1,614	3,03
1,643	3,58
1,669	4,09
1,696	4,59
1,726	4,84
1,755	4,44
1,780	3,79
1,808	3,08
1,836	2,40
1,863	2,01
1,890	1,81
1,920	1,84
1,946	1,97
1,976	2,04
2,001	2,48
2,028	2,90
2,057	3,36
2,082	3,94
2,111	4,59
2,138	5,26
2,163	6,04
2,193	6,74
2,219	6,96
2,245	6,69
2,274	6,11
2,303	5,22
2,329	4,37
2,355	3,73
2,384	3,38
2,412	3,24
2,439	3,18
2,466	3,51
2,491	3,75
2,520	4,23
2,549	4,80
2,574	5,75
2,603	6,20
2,631	7,02
2,658	7,80
2,685	8,41
2,712	8,64
2,737	8,61
2,766	8,12
2,793	7,35
2,821	6,63
2,847	5,92
2,874	5,45
2,901	5,16
2,929	5,04
2,957	5,13
2,982	5,34
3,009	5,70
3,038	6,17
3,064	6,79
3,064	7,58
3,064	8,46
3,064	9,27
3,064	9,40
3,064	9,40
3,064	9,42
3,064	9,44
3,064	9,40
3,064	9,42
3,064	9,44
3,064	9,40
3,064	9,33
3,064	9,16
3,064	9,57
3,064	9,09
3,064	9,66
3,064	9,31
3,064	9,04
3,064	9,55
