U_A1 / V	U_B1 / V
0,01	0,27
0,01	0,27
0,01	0,27
0,01	0,28
0,01	0,28
0,01	0,27
0,01	0,28
0,01	0,28
0,01	0,28
0,01	0,28
0,01	0,28
0,01	0,28
0,01	0,28
0,03	0,28
0,06	0,28
0,09	0,28
0,12	0,28
0,15	0,30
0,18	0,30
0,21	0,30
0,24	0,30
0,27	0,32
0,30	0,32
0,33	0,30
0,35	0,32
0,39	0,32
0,41	0,33
0,45	0,32
0,47	0,33
0,51	0,33
0,53	0,33
0,56	0,33
0,59	0,33
0,62	0,33
0,65	0,34
0,68	0,34
0,70	0,34
0,73	0,34
0,77	0,34
0,80	0,34
0,82	0,34
0,85	0,34
0,88	0,34
0,92	0,36
0,94	0,38
0,97	0,51
0,99	0,84
1,03	1,19
1,06	1,46
1,08	1,68
1,11	1,86
1,15	2,00
1,18	2,15
1,21	2,23
1,24	2,37
1,26	2,48
1,29	2,58
1,32	2,65
1,35	2,76
1,38	2,85
1,41	2,92
1,44	3,02
1,47	3,09
1,50	3,17
1,52	3,25
1,55	3,33
1,58	3,40
1,61	3,48
1,64	3,56
1,67	3,63
1,70	3,69
1,73	3,73
1,75	3,73
1,78	3,65
1,81	3,45
1,84	3,18
1,87	2,92
1,90	2,65
1,93	2,38
1,96	2,10
1,99	1,81
2,01	1,54
2,04	1,32
2,07	1,08
2,10	0,90
2,13	0,72
2,16	0,58
2,19	0,47
2,21	0,36
2,25	0,28
2,27	0,23
2,31	0,17
2,33	0,12
2,36	0,07
2,39	0,04
2,42	0,01
2,44	0,00
2,48	-0,01
2,50	-0,03
2,54	-0,04
2,56	-0,03
2,60	-0,03
2,62	0,00
2,65	0,15
2,68	0,51
2,71	1,09
2,73	1,57
2,77	1,92
2,79	2,21
2,82	2,44
2,85	2,77
2,88	3,08
2,91	3,36
2,94	3,63
2,96	3,87
3,00	4,08
3,02	4,28
3,05	4,47
3,08	4,65
3,10	4,82
3,13	4,98
3,17	5,14
3,19	5,29
3,22	5,45
3,25	5,61
3,28	5,75
3,31	5,89
3,33	6,03
3,37	6,17
3,39	6,27
3,42	6,38
3,45	6,43
3,48	6,43
3,50	6,34
3,53	6,18
3,56	5,96
3,59	5,73
3,62	5,50
3,65	5,28
3,67	5,03
3,71	4,74
3,73	4,44
3,76	4,14
3,79	3,85
3,82	3,58
3,85	3,31
3,88	3,06
3,90	2,79
3,94	2,54
3,96	2,28
4,00	2,02
4,02	1,77
4,05	1,50
4,08	1,26
4,11	1,02
4,13	0,81
4,17	0,58
4,19	0,39
4,22	0,24
4,25	0,12
4,28	0,03
4,30	0,03
4,33	0,10
4,37	0,34
4,39	0,54
4,42	0,78
4,45	0,90
4,47	1,02
4,50	1,22
4,53	1,49
4,56	1,81
4,58	2,10
4,61	2,35
4,64	2,60
4,67	2,85
4,70	3,10
4,73	3,38
4,76	3,65
4,79	3,92
4,82	4,18
4,84	4,44
4,87	4,71
4,89	5,00
4,92	5,26
4,95	5,52
4,99	5,79
5,00	6,04
5,04	6,32
5,07	6,57
5,09	6,79
5,13	7,04
5,16	7,28
5,18	7,46
5,21	7,59
5,24	7,68
5,26	7,71
5,29	7,74
5,32	7,77
5,34	7,79
5,37	7,77
5,41	7,68
5,43	7,61
5,46	7,50
5,49	7,38
5,52	7,26
5,54	7,09
5,58	6,96
5,60	6,81
5,63	6,62
5,66	6,43
5,68	6,20
5,71	6,03
5,75	5,80
5,77	5,54
5,79	5,29
5,83	5,04
5,86	4,75
5,88	4,37
5,91	4,23
5,94	3,79
5,96	3,78
6,00	3,62
6,02	3,56
6,04	3,52
6,08	3,45
6,11	3,29
6,13	3,17
6,16	3,08
6,18	3,08
6,21	3,12
6,24	3,19
6,28	3,24
6,30	3,30
6,33	3,33
6,36	3,40
6,38	3,52
6,41	3,65
6,44	3,69
6,46	3,93
6,50	4,09
6,52	4,28
6,55	4,42
6,58	4,70
6,61	4,92
6,63	5,16
6,67	5,42
6,69	5,70
6,71	5,99
6,74	6,24
6,77	6,58
6,79	6,88
6,83	7,21
6,86	7,51
6,88	7,84
6,91	8,18
6,93	8,46
6,96	8,74
7,00	9,02
7,02	9,29
7,04	9,55
7,08	9,82
7,10	10,08
7,13	10,34
7,16	10,52
7,18	10,70
7,21	10,88
7,24	11,04
7,27	11,23
7,30	11,38
7,32	11,55
7,35	11,63
7,38	11,73
7,41	11,64
7,43	11,88
7,46	11,71
7,49	11,96
7,51	11,96
7,54	11,94
7,57	11,93
7,60	11,93
7,63	11,87
7,66	11,89
7,68	11,93
7,71	11,96
7,74	11,96
7,76	11,89
7,79	11,85
7,82	11,80
7,84	11,82
7,88	11,89
7,90	11,94
7,92	11,96
7,92	11,96
7,92	11,96
7,92	11,93
7,92	11,93
7,92	11,91
7,92	11,93
7,92	11,91
7,92	11,93
7,92	11,93
